Respondent,YearsCodingProf
1,3-5 years
3,18-20 years
4,6-8 years
5,12-14 years
7,0-2 years
8,3-5 years
9,0-2 years
10,3-5 years
11,21-23 years
16,NA
17,0-2 years
18,NA
19,NA
20,3-5 years
21,0-2 years
22,3-5 years
26,NA
27,0-2 years
29,3-5 years
31,NA
33,12-14 years
34,24-26 years
37,6-8 years
38,18-20 years
39,3-5 years
41,9-11 years
43,12-14 years
44,0-2 years
45,3-5 years
46,6-8 years
47,3-5 years
50,6-8 years
51,0-2 years
52,3-5 years
53,NA
54,6-8 years
55,3-5 years
56,3-5 years
57,0-2 years
59,12-14 years
60,NA
61,0-2 years
63,24-26 years
66,6-8 years
67,0-2 years
71,3-5 years
72,9-11 years
75,3-5 years
76,6-8 years
77,3-5 years
78,21-23 years
79,18-20 years
80,6-8 years
81,9-11 years
82,9-11 years
83,0-2 years
84,15-17 years
85,0-2 years
87,9-11 years
88,NA
89,3-5 years
90,3-5 years
91,6-8 years
92,0-2 years
95,NA
96,0-2 years
97,NA
98,9-11 years
101,NA
103,3-5 years
105,3-5 years
106,12-14 years
107,6-8 years
111,0-2 years
112,NA
113,21-23 years
117,12-14 years
118,NA
119,0-2 years
120,3-5 years
122,0-2 years
123,9-11 years
124,9-11 years
125,3-5 years
126,3-5 years
127,3-5 years
129,0-2 years
131,3-5 years
132,3-5 years
133,0-2 years
134,6-8 years
135,0-2 years
136,NA
137,6-8 years
138,3-5 years
140,0-2 years
141,NA
142,9-11 years
143,0-2 years
146,0-2 years
148,6-8 years
149,NA
150,0-2 years
151,9-11 years
152,NA
153,3-5 years
155,0-2 years
156,NA
157,NA
158,NA
160,3-5 years
161,6-8 years
162,0-2 years
163,18-20 years
164,3-5 years
167,3-5 years
168,3-5 years
169,18-20 years
170,0-2 years
175,NA
177,3-5 years
179,12-14 years
181,6-8 years
182,3-5 years
184,0-2 years
186,9-11 years
187,9-11 years
188,3-5 years
189,0-2 years
192,6-8 years
194,NA
195,3-5 years
196,6-8 years
198,12-14 years
201,0-2 years
202,3-5 years
206,3-5 years
211,NA
212,NA
213,6-8 years
214,3-5 years
216,6-8 years
217,0-2 years
218,6-8 years
219,3-5 years
222,0-2 years
226,6-8 years
228,18-20 years
230,NA
231,3-5 years
233,3-5 years
234,NA
236,0-2 years
237,3-5 years
240,3-5 years
242,3-5 years
243,3-5 years
244,9-11 years
245,12-14 years
246,15-17 years
247,3-5 years
248,6-8 years
249,9-11 years
250,NA
251,9-11 years
253,0-2 years
254,0-2 years
255,6-8 years
256,0-2 years
257,6-8 years
260,27-29 years
261,6-8 years
263,NA
264,9-11 years
265,NA
266,6-8 years
267,3-5 years
270,0-2 years
271,3-5 years
272,9-11 years
274,6-8 years
278,3-5 years
279,3-5 years
280,NA
282,6-8 years
283,NA
284,12-14 years
285,6-8 years
286,0-2 years
287,0-2 years
289,15-17 years
291,0-2 years
293,NA
294,0-2 years
295,3-5 years
296,9-11 years
297,0-2 years
298,15-17 years
299,6-8 years
302,15-17 years
303,3-5 years
304,3-5 years
305,30 or more years
306,9-11 years
307,0-2 years
308,21-23 years
310,NA
313,0-2 years
315,NA
316,NA
317,9-11 years
318,6-8 years
319,3-5 years
320,3-5 years
321,6-8 years
323,3-5 years
324,0-2 years
325,NA
327,0-2 years
328,21-23 years
330,NA
332,0-2 years
333,9-11 years
334,0-2 years
337,9-11 years
338,9-11 years
340,3-5 years
342,6-8 years
343,12-14 years
344,3-5 years
345,NA
346,12-14 years
348,0-2 years
350,6-8 years
351,0-2 years
352,9-11 years
354,9-11 years
355,3-5 years
357,3-5 years
359,3-5 years
360,6-8 years
361,3-5 years
362,3-5 years
363,9-11 years
364,6-8 years
365,3-5 years
366,6-8 years
367,3-5 years
368,NA
369,NA
371,3-5 years
372,0-2 years
373,9-11 years
374,21-23 years
377,3-5 years
378,3-5 years
379,3-5 years
380,6-8 years
382,0-2 years
383,3-5 years
384,0-2 years
387,0-2 years
388,3-5 years
389,3-5 years
390,3-5 years
391,3-5 years
393,3-5 years
395,3-5 years
396,3-5 years
397,0-2 years
398,15-17 years
399,9-11 years
400,6-8 years
401,NA
402,3-5 years
403,0-2 years
404,3-5 years
405,3-5 years
407,NA
409,6-8 years
410,21-23 years
412,6-8 years
413,3-5 years
415,0-2 years
416,3-5 years
418,0-2 years
419,15-17 years
420,NA
421,NA
422,0-2 years
424,6-8 years
425,NA
426,3-5 years
427,6-8 years
428,3-5 years
430,9-11 years
431,NA
432,9-11 years
433,3-5 years
434,30 or more years
435,0-2 years
436,0-2 years
438,6-8 years
439,3-5 years
440,3-5 years
443,9-11 years
444,18-20 years
445,21-23 years
446,18-20 years
447,3-5 years
448,3-5 years
449,9-11 years
452,3-5 years
453,3-5 years
455,0-2 years
456,NA
458,0-2 years
460,0-2 years
461,3-5 years
462,12-14 years
464,0-2 years
465,3-5 years
466,3-5 years
467,0-2 years
468,9-11 years
469,3-5 years
470,15-17 years
471,3-5 years
472,12-14 years
473,NA
474,NA
475,3-5 years
477,0-2 years
479,NA
481,9-11 years
483,3-5 years
484,6-8 years
486,3-5 years
487,12-14 years
488,3-5 years
490,3-5 years
491,12-14 years
492,3-5 years
495,3-5 years
497,18-20 years
499,NA
501,6-8 years
502,9-11 years
506,0-2 years
507,3-5 years
508,0-2 years
509,18-20 years
510,0-2 years
513,0-2 years
514,0-2 years
515,24-26 years
516,3-5 years
518,6-8 years
519,3-5 years
520,6-8 years
521,9-11 years
522,3-5 years
523,9-11 years
524,15-17 years
525,3-5 years
526,12-14 years
528,9-11 years
530,NA
531,6-8 years
533,30 or more years
534,6-8 years
535,6-8 years
536,0-2 years
538,3-5 years
540,NA
541,3-5 years
542,NA
543,3-5 years
545,3-5 years
546,3-5 years
547,NA
548,0-2 years
549,0-2 years
550,9-11 years
551,6-8 years
553,NA
554,3-5 years
555,0-2 years
556,NA
